Topic,CL99XTopt,Flab8at,GE8ATDN2,INQ602,Mer8Adtd4,acsys8alo2,apl8c621,att99ate,fub99td,ibms99c,isa50t,mds08a2,nttd8alx,orcl99man,plt8ah1
429,0.2,0.22,0.16,0.12,0.2,0.2,0.18,0.22,0.18,0.14,0.16,0.22,0.22,0.2,0.18
430,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.1,0.12,0.1,0.12,0.12
431,0.42,0.68,0.62,0.4,0.64,0.64,0.64,0.56,0.74,0.76,0.54,0.6,0.68,0.68,0.72
432,0.04,0.0,0.0,0.04,0.0,0.02,0.02,0.02,0.02,0.0,0.02,0.28,0.02,0.0,0.0
433,0.0,0.04,0.02,0.02,0.04,0.08,0.08,0.04,0.04,0.06,0.02,0.02,0.06,0.1,0.0
434,0.66,0.78,0.72,0.76,0.64,0.22,0.4,0.88,0.7,0.7,0.6,0.94,0.62,0.62,0.94
435,0.4,0.34,0.34,0.2,0.3,0.5,0.4,0.58,0.24,0.42,0.26,0.6,0.14,0.36,0.38
436,0.34,0.44,0.24,0.34,0.32,0.42,0.24,0.46,0.28,0.6,0.18,0.96,0.18,0.54,0.02
437,0.02,0.06,0.0,0.0,0.1,0.0,0.0,0.16,0.02,0.18,0.18,0.12,0.1,0.08,0.02
438,0.44,0.18,0.4,0.42,0.4,0.24,0.14,0.22,0.26,0.44,0.6,0.42,0.26,0.24,0.4
439,0.08,0.08,0.48,0.08,0.12,0.02,0.06,0.12,0.14,0.18,0.08,0.64,0.06,0.08,0.52
440,0.28,0.34,0.2,0.14,0.26,0.38,0.32,0.26,0.24,0.2,0.1,0.44,0.14,0.46,0.34
441,0.24,0.3,0.22,0.22,0.24,0.3,0.28,0.32,0.3,0.22,0.18,0.26,0.34,0.28,0.24
442,0.0,0.02,0.02,0.0,0.06,0.1,0.08,0.2,0.06,0.02,0.06,0.42,0.1,0.0,0.06
443,0.28,0.32,0.22,0.24,0.2,0.16,0.14,0.26,0.02,0.24,0.26,0.08,0.24,0.22,0.24
444,0.18,0.26,0.16,0.18,0.26,0.32,0.32,0.34,0.18,0.16,0.2,0.3,0.3,0.3,0.12
445,0.26,0.3,0.28,0.3,0.24,0.34,0.28,0.78,0.22,0.54,0.34,0.7,0.28,0.4,0.26
446,0.2,0.74,0.46,0.18,0.34,0.64,0.38,0.66,0.32,0.62,0.64,0.5,0.16,0.74,0.82
447,0.14,0.1,0.06,0.08,0.24,0.04,0.24,0.22,0.22,0.06,0.02,0.32,0.28,0.08,0.12
448,0.08,0.0,0.1,0.06,0.08,0.02,0.1,0.3,0.04,0.12,0.14,0.28,0.04,0.0,0.14
449,0.2,0.2,0.2,0.18,0.18,0.24,0.22,0.18,0.2,0.2,0.2,0.24,0.22,0.2,0.2
450,0.48,0.92,0.86,0.88,0.78,0.8,0.84,0.84,0.84,0.84,0.68,0.72,0.84,0.92,0.86
