Topic,CL99XTopt,Flab8at,GE8ATDN2,INQ602,Mer8Adtd4,acsys8alo2,apl8c621,att99ate,fub99td,ibms99c,isa50t,mds08a2,nttd8alx,orcl99man,plt8ah1
418,0.42,0.41,0.46,0.14,0.39,0.47,0.43,0.42,0.46,0.38,0.1,0.73,0.33,0.47,0.46
419,0.04,0.03,0.08,0.09,0.1,0.05,0.1,0.15,0.1,0.09,0.04,0.08,0.08,0.07,0.09
420,0.19,0.21,0.18,0.18,0.19,0.22,0.2,0.23,0.18,0.19,0.18,0.18,0.17,0.2,0.21
421,0.15,0.05,0.03,0.11,0.07,0.12,0.05,0.17,0.03,0.08,0.08,0.22,0.05,0.13,0.09
422,0.64,0.7,0.38,0.52,0.43,0.12,0.43,0.39,0.44,0.22,0.46,0.58,0.32,0.3,0.59
423,0.15,0.15,0.13,0.16,0.19,0.17,0.18,0.18,0.14,0.14,0.13,0.21,0.19,0.15,0.12
424,0.3,0.22,0.38,0.18,0.4,0.36,0.41,0.39,0.37,0.39,0.21,0.35,0.08,0.18,0.44
425,0.53,0.62,0.52,0.57,0.53,0.5,0.52,0.59,0.47,0.61,0.47,0.74,0.53,0.57,0.62
426,0.06,0.19,0.19,0.04,0.2,0.06,0.26,0.76,0.32,0.57,0.15,0.83,0.11,0.05,0.29
427,0.22,0.2,0.24,0.25,0.24,0.27,0.28,0.21,0.21,0.31,0.2,0.28,0.21,0.22,0.18
428,0.4,0.41,0.27,0.42,0.32,0.44,0.36,0.42,0.31,0.33,0.34,0.55,0.33,0.39,0.37
429,0.11,0.11,0.09,0.06,0.1,0.11,0.11,0.11,0.1,0.08,0.09,0.11,0.11,0.11,0.1
430,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
431,0.38,0.58,0.42,0.37,0.51,0.54,0.5,0.41,0.6,0.57,0.41,0.46,0.54,0.56,0.58
432,0.03,0.0,0.01,0.02,0.0,0.02,0.02,0.01,0.01,0.01,0.03,0.16,0.02,0.0,0.0
433,0.0,0.04,0.01,0.01,0.05,0.05,0.05,0.04,0.02,0.04,0.02,0.02,0.03,0.05,0.0
434,0.59,0.74,0.67,0.67,0.66,0.21,0.43,0.82,0.66,0.56,0.51,0.83,0.58,0.54,0.82
435,0.33,0.29,0.32,0.17,0.24,0.37,0.33,0.54,0.25,0.32,0.2,0.55,0.08,0.37,0.36
436,0.22,0.26,0.14,0.22,0.29,0.23,0.16,0.41,0.22,0.41,0.15,0.73,0.12,0.33,0.07
437,0.01,0.05,0.0,0.02,0.07,0.01,0.0,0.13,0.07,0.12,0.13,0.1,0.08,0.08,0.04
438,0.39,0.27,0.37,0.37,0.35,0.23,0.16,0.33,0.32,0.42,0.48,0.33,0.27,0.29,0.33
439,0.14,0.09,0.43,0.13,0.14,0.04,0.05,0.11,0.14,0.22,0.04,0.51,0.06,0.05,0.45
440,0.16,0.26,0.1,0.13,0.18,0.25,0.23,0.3,0.18,0.12,0.05,0.39,0.1,0.3,0.19
441,0.15,0.16,0.11,0.12,0.13,0.16,0.15,0.16,0.15,0.11,0.1,0.13,0.17,0.16,0.14
442,0.0,0.02,0.01,0.0,0.07,0.1,0.09,0.11,0.07,0.01,0.04,0.29,0.07,0.01,0.05
443,0.15,0.24,0.21,0.18,0.18,0.12,0.13,0.17,0.03,0.22,0.21,0.07,0.16,0.2,0.23
444,0.1,0.14,0.1,0.11,0.15,0.16,0.16,0.17,0.11,0.1,0.11,0.15,0.17,0.15,0.06
445,0.17,0.21,0.23,0.22,0.14,0.28,0.18,0.48,0.14,0.32,0.2,0.53,0.19,0.27,0.24
446,0.22,0.54,0.37,0.18,0.34,0.52,0.38,0.49,0.28,0.53,0.39,0.36,0.15,0.59,0.61
447,0.11,0.12,0.05,0.05,0.14,0.07,0.13,0.15,0.12,0.03,0.01,0.16,0.16,0.12,0.13
448,0.05,0.02,0.07,0.03,0.07,0.01,0.09,0.19,0.04,0.06,0.07,0.2,0.02,0.0,0.11
449,0.11,0.14,0.16,0.13,0.14,0.16,0.17,0.16,0.16,0.14,0.13,0.16,0.14,0.15,0.13
450,0.33,0.75,0.79,0.76,0.68,0.72,0.78,0.77,0.71,0.6,0.51,0.66,0.69,0.73,0.78
