Topic,CL99XTopt,Flab8at,GE8ATDN2,INQ602,Mer8Adtd4,acsys8alo2,apl8c621,att99ate,fub99td,ibms99c,isa50t,mds08a2,nttd8alx,orcl99man,plt8ah1
431,0.6,1.0,0.8,0.8,1.0,1.0,1.0,0.8,0.6,1.0,1.0,1.0,0.8,1.0,0.6
432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0
433,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.2,0.2,0.2,0.0,0.0,0.2,0.4,0.0
434,0.6,0.6,0.8,0.8,0.8,0.4,0.8,1.0,0.8,0.8,0.8,1.0,1.0,0.8,1.0
435,0.4,0.2,0.4,0.4,0.4,0.6,0.2,0.8,0.0,0.6,0.2,0.8,0.6,0.2,0.4
436,0.4,0.6,0.4,0.6,0.4,0.6,0.6,0.6,0.2,1.0,0.6,1.0,0.2,1.0,0.0
437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.4,0.2,0.0,0.0,0.0,0.0
438,0.2,0.0,0.2,0.8,0.4,0.2,0.0,0.6,0.4,0.6,1.0,0.6,0.6,0.2,0.4
439,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.6,0.2,0.6,0.2,1.0,0.2,0.4,0.0
440,0.6,0.0,0.8,0.2,0.2,0.8,0.4,0.6,0.8,1.0,0.2,1.0,0.0,1.0,0.6
441,1.0,0.8,0.6,1.0,0.8,0.8,0.8,0.8,0.6,0.8,0.8,1.0,0.8,1.0,0.8
442,0.0,0.0,0.0,0.0,0.2,0.4,0.4,0.8,0.0,0.0,0.0,1.0,0.2,0.0,0.0
443,0.2,0.4,0.4,0.2,0.2,0.0,0.0,0.2,0.0,0.8,0.2,0.2,0.4,0.4,0.6
444,0.8,1.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,0.8
445,0.8,1.0,0.6,1.0,0.2,1.0,1.0,1.0,0.2,1.0,0.4,1.0,1.0,1.0,1.0
446,0.2,1.0,0.6,0.0,0.4,1.0,0.8,0.6,0.8,1.0,0.8,1.0,0.4,1.0,0.6
447,0.6,0.2,0.0,0.6,0.6,0.2,0.8,0.8,0.6,0.0,0.2,1.0,0.8,0.0,0.2
448,0.2,0.0,0.2,0.2,0.4,0.0,0.0,0.6,0.0,0.6,0.6,0.2,0.2,0.0,0.0
449,0.4,0.4,0.6,0.4,0.6,0.6,0.6,0.4,0.4,0.4,0.6,0.8,0.4,0.4,0.6
450,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6,1.0,1.0,1.0
